"psig","qval","med_q_val","is_sig"
1,0.000102736,0.000149285,TRUE
0,0.861367,0.915135,FALSE
0,0.342242,0.299385,FALSE
0,0.52793,0.558194,FALSE
0,0.493494,0.458335,FALSE
0,0.998435,0.998394,FALSE
0.0501002,0.0992351,0.205834,FALSE
0.00601202,0.222306,0.215574,FALSE
0.124248,0.0957801,0.0973389,FALSE
0,0.959585,0.990255,FALSE
1,0.00339937,0.00220827,TRUE
0,0.759019,0.702455,FALSE
0.937876,0.0234547,0.025972,TRUE
0,0.455199,0.441522,FALSE
0,0.593509,0.660877,FALSE
0,0.411227,0.428844,FALSE
0,0.998435,0.998405,FALSE
0,0.354617,0.366293,FALSE
0,0.480379,0.493157,FALSE
0,0.998435,0.998419,FALSE
0,0.251304,0.20572,FALSE
1,1.7378e-05,1.90051e-05,TRUE
0,0.460861,0.478704,FALSE
0,0.998435,0.998422,FALSE
0,0.970012,0.998397,FALSE
0.921844,0.0249286,0.0307093,TRUE
0,0.998435,0.998388,FALSE
0,0.527774,0.66465,FALSE
1,0.000186698,0.000182428,TRUE
0.01002,0.256338,0.226792,FALSE
1,0.00854065,0.0119469,TRUE
0.01002,0.647911,0.737357,FALSE
1,1.54782e-09,7.62671e-10,TRUE
0,0.626605,0.691223,FALSE
0,0.587026,0.612094,FALSE
0,0.998435,0.998422,FALSE
0,0.998435,0.99841,FALSE
0,0.924727,0.998396,FALSE
0.0140281,0.497667,0.527838,FALSE
0,0.566082,0.629816,FALSE
0,0.676528,0.70932,FALSE
0,0.884876,0.819597,FALSE
0.00200401,0.210125,0.217856,FALSE
0,0.178843,0.218345,FALSE
0.01002,0.333909,0.321907,FALSE
0,0.888568,0.869915,FALSE
0,0.998435,0.998407,FALSE
0.172345,0.118899,0.0994331,FALSE
1,8.45854e-11,2.23377e-10,TRUE
0.00200401,0.908433,0.856817,FALSE
0,0.879865,0.94047,FALSE
0,0.37841,0.348681,FALSE
0,0.417243,0.520891,FALSE
0,0.998435,0.998422,FALSE
1,2.18757e-09,1.46911e-09,TRUE
0,0.998435,0.998401,FALSE
0,0.917989,0.921238,FALSE
0,0.998435,0.998391,FALSE
0.00601202,0.104646,0.233232,FALSE
0,0.998435,0.998406,FALSE
1,0.0114424,0.0120292,TRUE
0,0.314161,0.371827,FALSE
0.46493,0.0202327,0.0538273,TRUE
0,0.712327,0.710016,FALSE
